Company Name,Headquarters,Size,Type of ownership,Industry,Sector
ATAI Life Sciences AG,"Munich, Germany",1 to 50 employees,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"Sunrise Systems, Inc.","Edison, NJ",501 to 1000 employees,Company - Private,IT Services,Information Technology
BioLegend,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
American Specialty Health Incorporated,"Carmel, IN",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
ByteDance,"Beijing, China",10000+ employees,Company - Private,Internet,Information Technology
Samsung Electronics America,"Ridgefield Park, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Rose International,"Chesterfield, MO",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Quidel Corporation,"San Diego, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
University of California,"Oakland, CA",10000+ employees,College / University,Colleges & Universities,Education
VLink Inc.,"South Windsor, CT",201 to 500 employees,Company - Private,IT Services,Information Technology
"1798, LLC","La Jolla, CA",1 to 50 employees,Company - Private,Consulting,Business Services
"Verity, A HealthStream Company","Boulder, CO",201 to 500 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Takeda,"OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
AnaptysBio Inc,"San Diego, CA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"AveXis, Inc.","Bannockburn, IL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Epic Sciences,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
La Jolla Institute for Allergy and Immunology,"La Jolla, CA",201 to 500 employees,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Russell Tobin & Associates,"New York, NY",51 to 200 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Hologic,"Marlborough, MA",5001 to 10000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing
Laboratory Corporation of America,"Burlington, NC",10000+ employees,Company - Public,Research & Development,Business Services
INVIVOSCRIBE INC,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
NantKwest,"San Diego, CA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Beckman Coulter Life Sciences,"Brea, CA",10000+ employees,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing
MedImpact,"San Diego, CA",1001 to 5000 employees,Company - Private,Wholesale,Business Services
Accelrys,"San Diego, CA",501 to 1000 employees,Company - Public,Computer Hardware & Software,Information Technology
Absorption,"Exton, PA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Ferring Pharmaceuticals,"Saint-Prex, Switzerland",5001 to 10000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Qualcomm,"San Diego, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Parkland Center for Clinical Innovation,"Dallas, TX",1 to 50 employees,Nonprofit Organization,IT Services,Information Technology
Cytracom,"Allen, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Vinli,"Dallas, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Lennox International,"Richardson, TX",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing
Lidl,"London, United Kingdom",10000+ employees,Company - Private,Grocery Stores & Supermarkets,Retail
CGI,"Montreal, Canada",10000+ employees,Company - Public,Consulting,Business Services
Predictive Research Inc,"Bangalore, India",1 to 50 employees,Company - Private,Consulting,Business Services
Kubota Tractor Corporation,"Grapevine, TX",1001 to 5000 employees,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing
"Six Flags, Inc.","Grand Prairie, TX",1001 to 5000 employees,Company - Public,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation"
Infosys,"Bengaluru, India",10000+ employees,Company - Public,IT Services,Information Technology
Pieces Technologies,"Dallas, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Cottonwood Financial,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
Parkland,"Dallas, TX",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
Goldman Sachs,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Atos,"Bezons, France",10000+ employees,Company - Public,IT Services,Information Technology
MSYS Inc.,"Cary, NC",51 to 200 employees,Company - Private,IT Services,Information Technology
HMS Holdings,"Irving, TX",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Cash Store,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
"Health Management Systems, Inc.","Tifton, GA",201 to 500 employees,Company - Private,Consulting,Business Services
Prudent Technologies and Consulting,"Dallas, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
UT Dallas,"Richardson, TX",1001 to 5000 employees,College / University,Colleges & Universities,Education
Dallas County,"Dallas, TX",201 to 500 employees,Government,Municipal Governments,Government
Dialexa,"Dallas, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Boston Consulting Group,"Boston, MA",10000+ employees,Company - Private,Consulting,Business Services
"ZeniMax Media, Inc.","Rockville, MD",201 to 500 employees,Company - Private,Video Games,Media
PSG Global Solutions,"Marina del Rey, CA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Texas Scottish Rite Hospital for Children,"Dallas, TX",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Pioneer Consulting Services LLC,"West Des Moines, IA",1 to 50 employees,Company - Private,IT Services,Information Technology
PeopleFun,"Richardson, TX",1 to 50 employees,Company - Private,Audiovisual,"Arts, Entertainment & Recreation"
Raytheon Intelligence & Space,"Arlington, VA",10000+ employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense
AmerisourceBergen,"Conshohocken, PA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Nokia,"Nokia, Finland",10000+ employees,Company - Public,Telecommunications Services,Telecommunications
Tiger Analytics,"Santa Clara, CA",201 to 500 employees,Company - Private,Consulting,Business Services
Trinity Industries,"Dallas, TX",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing
Neiman Marcus,"Dallas, TX",10000+ employees,Company - Private,"Department, Clothing, & Shoe Stores",Retail
"Telnet, Inc.","Rockville, MD",51 to 200 employees,Company - Private,Consulting,Business Services
Yeti Technologies,"Irving, TX",1 to 50 employees,Company - Public,IT Services,Information Technology
IMG Systems,"Plano, TX",1 to 50 employees,Company - Private,Consulting,Business Services
Federal Reserve Bank of Dallas,"Dallas, TX",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Financial Additions,"Dallas, TX",1 to 50 employees,Company - Private,Investment Banking & Asset Management,Finance
BICP,"Carlsbad, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
VITALWARE LLC,"Yakima, WA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
"HumCap, Inc.","Plano, TX",1 to 50 employees,Company - Private,Consulting,Business Services
State Farm,"Bloomington, IL",10000+ employees,Company - Private,Insurance Carriers,Insurance
Yum! Brands,"Louisville, KY",10000+ employees,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services"
"InfoVision, Inc.","Richardson, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Brinks Home Security,"Farmers Branch, TX",1001 to 5000 employees,Company - Public,Security Services,Business Services
Mr. Cooper,"Dallas, TX",5001 to 10000 employees,Company - Public,Lending,Finance
First American Financial Corporation,"Santa Ana, CA",10000+ employees,Company - Public,Insurance Carriers,Insurance
Meso Scale Diagnostics,"Rockville, MD",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Federal Reserve Bank,"New York, NY",1001 to 5000 employees,Company - Private,Financial Analytics & Research,Finance
Ava Consulting,"Dallas, TX",1 to 50 employees,Company - Public,IT Services,Information Technology
Signify Health,"Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care
CAE,"Montreal, Canada",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Avantax Wealth Management,"Irving, TX",501 to 1000 employees,Company - Public,Brokerage Services,Finance
Athreya Inc,"New Brunswick, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
Hilltop Holdings,"Dallas, TX",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Federal Reserve Bank (FRB),"Washington, DC",1001 to 5000 employees,Government,Federal Agencies,Government
Addison Group,"Chicago, IL",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
"Telnet (Rockville, MD)","Rockville, MD",51 to 200 employees,Company - Private,Consulting,Business Services
SysMind,"Princeton Junction, NJ",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Reddy Ice,"Dallas, TX",1001 to 5000 employees,Company - Public,Food & Beverage Manufacturing,Manufacturing
Palnar,"Cranbury, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology
"7-Eleven, Inc.","Dallas, TX",10000+ employees,Subsidiary or Business Segment,Other Retail Stores,Retail
Pddn,"Fremont, CA",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
RealPage,"Richardson, TX",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
NTT DATA,"Tokyo, Japan",10000+ employees,Company - Public,IT Services,Information Technology
HumCap Inc.,"Plano, TX",1 to 50 employees,Company - Private,Consulting,Business Services
"DataSys Consulting and Software, Inc","Princeton, NJ",1 to 50 employees,Company - Private,Consulting,Business Services
GM Financial,"Fort Worth, TX",5001 to 10000 employees,Company - Public,Lending,Finance
adept scripts,"Frisco, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Fleishman-Hillard Inc,"Saint Louis, MO",1001 to 5000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
NTT DATA Services,"Tokyo, Japan",10000+ employees,Company - Public,IT Services,Information Technology
Lucid Technologies,"Arlington, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Prudent Technologies & Consulting,"Dallas, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
IQuest Solutions Corp,"Waukee, IA",1 to 50 employees,Company - Private,IT Services,Information Technology
Federal Reserve Bank of Richmond,"Richmond, VA",1001 to 5000 employees,Nonprofit Organization,Banks & Credit Unions,Finance
IBM Corporation,"Armonk, NY",10000+ employees,Company - Public,IT Services,Information Technology
National NeuroMonitoring,"San Antonio, TX",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Mill Creek Residential Trust,"Boca Raton, FL",501 to 1000 employees,Company - Private,Real Estate,Real Estate
PrideStaff,"Fresno, CA",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
"Pinnacle Technical Resources, Inc.","Dallas, TX",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
Apptricity Corporation,"Irving, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Precision technologies corp,"New Brunswick, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology
Comtek Group,"Richardson, TX",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
PROLIM Global Corporation,"Farmington Hills, MI",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Object Technology Solutions, Inc.","Overland Park, KS",51 to 200 employees,Company - Private,IT Services,Information Technology
Vaco Financial,"Brentwood, TN",501 to 1000 employees,Company - Private,Consulting,Business Services
eDataForce consulting LLC,"Flower Mound, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
DTCC,"New York, NY",1001 to 5000 employees,Company - Private,Brokerage Services,Finance
Vensoft Inc,"Glendale, AZ",51 to 200 employees,Company - Private,IT Services,Information Technology
NTT DATA Corporation,"Tokyo, Japan",10000+ employees,Company - Public,IT Services,Information Technology
Anblicks,"Dallas, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Omnitracs,"Dallas, TX",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology
Exeter Finance,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
Colfax Corporation,"Annapolis Junction, MD",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing
Idexcel Inc.,"Herndon, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
"BurnsSearch, LLC","Frisco, TX",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Jnit Technologies,"Grapevine, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Tachyon Technologies LLC,"Irving, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
